编号,酒店名称,最热评价,情感倾向,备注
1,亚季酒店(哈尔滨太平国际机场店),"服务特别好,房间干净,周边也有吃的。酒店位置很便利去机场很方便",正向,
2,哈尔滨中央大街索菲亚美居酒店,"我果然没选错酒店,满意极了。很安静,一整夜好眠,推荐推荐",正向,
3,北北大酒店(哈尔滨火车站站前广场店),"不太方便。整体挺好,要是有个移动花洒就好了",中性,
4,哈尔滨俊朗中央大酒店(中央大街店),"交通方便,离步行街很近,景点也很近。离步行街很近,打车方便,去景点方便",正向,
5,芒果公寓式酒店(哈尔滨中央大街店),"位置极好,房间够大,电视好用。酒店位置很好,离圣索非亚教堂很近",正向,
6,曼哈顿大酒店(哈尔滨中央大街索菲亚广场店),"酒店位置太好了。位置很好,教堂和中央大街都很近",中性,
7,棠枫艺术酒店(哈尔滨江畔店),"床很大,房间很大,商旅舒心选择。挺好的",正向,
8,哈尔滨祥云宾馆(太平国际机场店),"非常满意。服务挺好的,接送很贴心",正向,
9,哈尔滨精途酒店,"价格划算,房间干净,服务好。对于本次入住,必须要给个好评",中性,
10,金诺宾馆(哈尔滨太平国际机场店),"酒店非常不错,各方面服务都细致周到",正向,
11,麗枫酒店(哈尔滨公路大桥爱建店),"非常好的酒店,前台服务热情。但是价格比中央大街的便宜好多",负向,
12,哈尔滨中央大街华特酒店(索菲亚教堂店),"离一些景点都很近总之推荐入住。环境也没的说,体验感非常Good",正向,
13,鸿顺宾馆(哈尔滨太平国际机场店),"很周到,房间很好,收拾干净。酒店位置很好,离机场很近很方便",正向,
14,北北假日酒店(哈尔滨中央大街店),"店员服务态度挺好的,性价比很高。第一晚住进去很冷",中性,
15,哈尔滨和悦公寓(哈西万达广场店),"阿姨人很好卫生也很干净。很不错的公寓酒店,真的不错",正向,
16,维也纳酒店(哈尔滨中央大街索菲亚店),"002小哥哥前台服务很棒,赞赞赞。前台挺热情的",正向,
17,哈尔滨昆仑大酒店(火车站店),"楼下吃东西也比较方便。特别老的酒店,胜在位置好,出门就是哈站",中性,
18,哈尔滨雅悦酒店(国际会展中心店),"早餐好吃,有品位。下次出差还住,前台服务态度很好",正向,
19,哈尔滨中央大街际丰假日酒店(防洪纪念塔店),"这里的工作人员超级好。干净卫生,服务态度很好,位置便利",正向,
20,永泰宾馆(哈尔滨太平国际机场店),"很不错,房间很干净。干净整洁,住的很舒服",正向,
21,瑞廷酒店(哈尔滨中央大街店),"位置交通。服务态度好,家庭出行入住条件可以",正向,
22,鸿运宾馆(哈尔滨太平国际机场店),"接机送机服务态度很好,老板很热情。晚点了,晚上十二点多才到",负向,
23,哈尔滨中央大街公馆酒店(索菲亚教堂店),"物美价廉,便宜干净,前台服务好。酒店地理位置很好,是一家老一点的酒店",正向,
24,民航空港宾馆(哈尔滨太平国际机场店),"酒店给换了贵的前台人很好态度也很好。离机场很近,有车接送",中性,
25,袋鼠连锁宾馆(哈尔滨中央大街店),"酒店非常不错,各方面服务都细致周到。价格便宜",正向,
26,7天优品酒店(哈尔滨中央大街索菲亚教堂店),"前台办理入住的小哥服务到位态度很好。非常非常非常非常非常好,方便快捷",负向,
27,哈尔滨蓝翎酒店(中央大街店),"商家服务很好,热情周到。服务很好,前台很客气",正向,
28,凯悦之星连锁宾馆(哈站站前广场店),离哪里都很近的。非常满意性价比也很高,正向,
29,哈尔滨晚安假日宾馆(中央大街索菲亚教堂店),"酒店很好,没有评价里面说的那么差。房间很好,干净整洁,楼下就是中央大街",负向,
30,黑龙江金谷大厦(中央大街店),"但保护的还是蛮好的。前台小姐姐和保安小哥服务非常好,很赞",正向,
31,哈尔滨向日葵酒店(中央大街索菲亚教堂店),"总的来说还不错,各方面都还是令人满意的。位置是非常的好",正向,
32,哈尔滨机场宾馆,"离机场很近,步行10分钟到航站楼。宾馆条件一般,无早餐",负向,
33,哈尔滨中央大街大洋宾馆(索菲亚教堂店),"环境好干净卫生离车站也很近好评。位置不错,服务很好哦,性价比很高",正向,
34,豪滨假日酒店(哈尔滨火车站医大一院店),"可以,五星好评。位置很方便",中性,
35,惟景假日酒店(哈尔滨站中央大街店),"前台服务很好。房间也很干净,前台工作人员服务很好",中性,
36,和兴电竞宾馆(哈尔滨中央大街店),"打扫也很及时,地理位置也很好。整体住的还挺好",正向,
37,哈什国际青年旅舍(哈尔滨凯德广场店),"总的来说还不错,各方面都还是令人满意的。前台哥哥非常温柔,人老好说话了",正向,
38,新旺酒店式公寓(中央大街索非亚教堂店),"很大很干净,离中央大街也近,性价比很高。一如既往的好,五星好评,希望不要骄傲",正向,
39,全季酒店(哈尔滨中央大街店),"酒店地理位置很好,右边是中央大街。环境感觉还是不错的",正向,
40,哈尔滨龙门太空舱青年旅舍,"整体来说还是很不错的,离中央大街挺近的",正向,
41,曼哈顿公寓(哈尔滨中央大街索菲亚教堂店),"前台小哥服务超级好,体现了东北人的热情。位置极佳",正向,
42,哈尔滨三驱公寓(哈西万达店),"房间很宽敞,位置也不错。老板人很好",正向,
43,哈尔滨富力万达嘉华酒店,"干净整洁,这里的床垫很舒服,卫生也不错。酒店的设备设施很好,员工服务态度很好",正向,
44,白玉兰酒店(哈尔滨火车站博物馆地铁站店),"整体会比较小,卫生间也稍微紧凑。早餐很好👍",正向,
45,速8酒店(哈尔滨中央大街店),酒店位置很好。总体来说非常满意,正向,
46,全季酒店(哈尔滨中央大街索菲亚店),"把空间最大化利用,早餐还不错,环境很好。服务人员很热情,乐于提供各种帮助",正向,
47,哈尔滨行者咖啡酒店,"位置好,离哈站一点几公里,可以步行。前台小姐姐人超级好,房间干净整洁",正向,
48,哈尔滨中央大街马迭尔宾馆,"酒店就在中央大街,对于旅游购物相当便利。工号2029服务员热情健谈,服务好",正向,
49,乐驻酒店(哈尔滨火车站索菲亚教堂店),"前台服务态度还好,值得推荐。环境挺好,屋里温度挺高,服务周到",正向,
50,哈尔滨吉航宾馆(太平国际机场店),酒店服务态度很好。酒店服务态度很好,中性,
51,和颐酒店(哈尔滨中央大街店),"位置很好,出行非常方便。卫生各方面都很好,服务人员态度很好",正向,
52,麗枫酒店(哈尔滨哈西火车站万达广场店),"这个酒店的浴室很大,干净整洁。房间特别整洁,设施齐全,热水特别好",正向,
53,全季酒店(哈尔滨中央大街人民广场店),"服务很好,前台小姐姐超级热情友好。前台服务太好了,对人热情服务态度很好",中性,
54,中央公馆酒店(哈尔滨中央大街店),"架子很大;味道总体上是发霉味。服务冷淡很装逼,屋子里阴冷的比较厉害",负向,
55,哈尔滨中央大街凯瑞酒店(索菲亚教堂店),"环境好,位置也方便。卫生好,干净整洁,床品及毛巾都很舒适",正向,
56,哈尔滨欧罗巴酒店(中央大街索菲亚店),步行最多不超过15分钟。环境。卫生很干净服务周到,正向,
57,哈尔滨雅客莱酒店(果戈里大街店),"体验感很好。各方面都很好,性价比超高",正向,
58,卡兹青年拼游旅舍(哈尔滨中央大街店),"离中央大街和地铁站都近,交通相当方便。公共卫生不错,卫生间洗澡间都挺干净的",正向,
59,哈尔滨美希宾馆,"服务好,卫生干净,室内整洁",正向,
60,民航空港宾馆(哈尔滨国际候机厅店),"出门在外遇到好心人真的很难得。有接送机服务,早餐也很丰富,离机场很近",正向,
61,凯里亚德酒店(哈尔滨火车站中央大街店),环境很好。酒店也很暖和,正向,
62,米兰精品酒店(哈尔滨火车站店),"住的很舒服,老板态度很好,住了三晚。服务员都很热情",中性,
63,哈尔滨斯堡莱登酒店(会展中心店),"服务态度很好,房间卫生干净。酒店太棒了,超过了我的想象",正向,
64,四季云端连锁宾馆(师大夜市店),入住第一天给免费升级了复式很不错。很好甚至还带洗衣机,中性,
65,静雅快捷宾馆(哈尔滨火车站店),"特别好的旅店,住了半个月,老板人好。位置交通",中性,
66,佳宁假日公寓(哈尔滨中央大街店),环境真的很好。房主很热情,正向,
67,寒舍客栈(中华巴洛克街区地铁站店),房间简约风旁边就是地铁站很方便。有一点不是很好,正向,
68,百祥假日酒店(哈尔滨东站店),"该酒店地理位置好,交通方便。感觉空间很大很舒适,被单有点泛黄破损",正向,
69,悦宾酒店(哈尔滨医大一院工程大学店地铁站),"床品很干净,温度适宜,订了两天。整体感觉都很好",正向,
70,哈尔滨甜蜜邮局青年旅舍(中央大街店),"老板老板娘都特别的热情,服务相当到位。老板娘超级热情,还叫我小宝",正向,
71,哈工大招待所(哈工大地铁站二店),"很惊喜的入住体验。感觉不错嗷,工作人员都很热情",正向,
72,哈尔滨梦乐宾馆(中央大街店),"老板人很好,沟通楼层时间都很顺畅。很好还免费给换了投影房间",正向,
73,汉庭酒店(哈尔滨火车站广场店),"服务态度非常好👍🏼。离火车站很近,出行很方便,就餐也很方便",正向,
74,雪谷佳欣度假村,"老板为人和谐幽默,价格公道",正向,
75,7天酒店(哈尔滨中央大街民安街店),"想找离车站近的,这个好像不太近。尤其前台客服态度服务特别好",负向,
76,哈尔滨国际饭店,"周围很多吃的,酒店本身很有历史。非常非常不错的打卡地",正向,
77,哈尔滨龙门大厦,"前台小哥服务很好,酒店停电了一会。住了四天,服务态度很好,设施略显老旧",负向,
78,勃莱梅假日酒店(哈尔滨索菲亚教堂火车站店),"地理位置优越,价格便宜。位置相当得好,性价比高",正向,
79,哈尔滨大树宾馆(会展中心万达广场店),"对于本次入住,必须要给个好评",负向,
80,哈尔滨华融饭店,"房间干净整洁,早餐丰富,前台服务非常棒。而且前台服务超级好",正向,
81,7天连锁酒店(哈尔滨承德广场巴洛克景区店),"性价比很高,附近美食众多,干净卫生。出生交通也方便,离火车站也不远",正向,
82,哈尔滨索菲特大酒店,"早餐种类丰富,中西结合。不愧是老牌的五星级酒店",正向,
83,北方国际青年旅舍(哈尔滨中央大街店),但青旅本身就很好。感觉哈尔滨之旅圆满成功,正向,
84,琪珑酒店(哈尔滨省政府民航大厦店),"买东西也方便,酒店老板人特热情。门前是地铁口,出门太方便了",正向,
85,如家酒店·neo(哈尔滨索菲亚教堂麦凯乐中央大街店),"位置很好,索菲亚教堂旁边,离兆麟公园。到了酒店发现前台服务非常热情专业",正向,
86,哈尔滨机场家庭宾馆,"价格实惠,很便捷。必须给老板5星好评",正向,
87,锦江之星(哈尔滨林业大学文昌街店),"干净卫生,前台服务好。乘坐公交车很方便,楼下有超市、饭店",正向,
88,哈尔滨香格里拉大酒店,"房间很干净,特别是前台小夏服务很好。亲切感十足,特别前台的金燕和赫雨航",正向,
89,地玖公馆酒店(哈尔滨中央店),"这次东北之旅最经济最满意之一酒店。位置比较靠近中央大街了,打车五分钟直达",正向,
90,七彩假日宾馆(哈尔滨东北林业大学店),"服务人员很热情,乐于提供各种帮助。环境很好,定的双床",正向,
91,哈尔滨柏拉图酒店(西大直街和兴路地铁站店),"酒店位置很好,在师大夜市附近。环境好,服务好,卫生好",正向,
92,哈尔滨北大荒国际饭店(国际会展中心店),"然后位置很好。床和被子也极为舒适,早餐丰富,材质优良",正向,
93,麦凯乐公寓,"地理位置很好,我们定了三间房。环境不错,出行方便",正向,
94,哈尔滨友谊宫,"还是很不错的,位置,服务,早餐都不错。环境很好,早餐也很丰盛,不愧是老牌酒店",正向,
95,爱琴享公寓(哈尔滨冰雪大世界店),"出行吃饭都非常方便,房间干净空间大。特别适合家庭一起出游,卫生间面积也大",正向,
96,如家商旅酒店(哈尔滨中央大街松花江防洪纪念塔店),"去哪都比较方便,屋里很暖和。防洪纪念塔都很近,酒店设施较新",正向,
97,如家商旅酒店(哈尔滨中央大街索菲亚教堂店),"位置距离索菲亚大教堂非常近,房间干净。位置交通",正向,
98,凯乐宾馆(哈尔滨太平国际机场店),妈妈说很好。选了个附近最便宜的旅店,正向,
99,星空酒店(哈尔滨索菲亚中央大街店),"卫生干净,打扫房间的樊阿姨很热情。是来哈尔滨这几天见到最符合东北人的",负向,
100,哈尔滨万达假日酒店(中央大街索菲亚教堂店),位置极其优越。最后给的是1205房,中性,
101,袋鼠优品宾馆(哈尔滨中央大街店),"位置很不错,可以可以。离中央大街特别近",正向,
102,哈尔滨敖麓谷雅AOLUGUYA酒店,洗护用品这些都是相当不错。让人一进来就很温暖安全,正向,
103,哈尔滨勃莱梅大酒店,"总体还是不错的,对得起4.7分推荐。房间非常不错,早餐也很好",正向,
104,哈尔滨东龙大酒店,"酒店价格算合理,房间足够大。设施摆设我也很满意,附近有三家汉庭",负向,
105,伯爵酒店(哈尔滨中央大街索菲亚教堂店),住宿感受不错。体验非常OK,正向,
106,华驿精选酒店(哈尔滨中央大街富力江湾店),"整体环境都不错,早餐的品种还需要加强。很满意",正向,
107,冰雪奇缘客栈(雪谷二店),"房间不大,但是炕很暖和,卫生也不错。优点当然也很多",正向,
108,哈尔滨正明大酒店(火车站医大一院地铁站店),"酒店位置很好,距离医大一很近。酒店住起来还不错,里面挺干净的,很温馨",正向,
109,京士顿宾馆(哈尔滨中央大街防洪纪念塔店),"前台小姐姐们人很好,客房干净卫生,好评。位置非常好,去哪都方便",负向,
110,莫枫公寓(哈尔滨哈西万达广场西客站店),"服务热情,房间也很好干净整洁。房间很干净,落地窗视野很好",正向,
111,华谊东方酒店(哈尔滨中央大街地铁站爱建店),"南方人勇闯东北。大堂装修装饰很有特点,房间干净整洁",正向,
112,如家派柏·云酒店(哈尔滨中央大街索菲亚教堂店),南方土豆超满意。离索菲亚广场最多800米,正向,
113,哈尔滨美途酒店式公寓(中央大街99公馆店),"房间宽敞窗户亮堂,来东北住得很满意",中性,
114,哈尔滨新巴黎大酒店,"去冰雪大世界和其他景点非常方便。酒店地理位置好,交通方便,硬件设施不错",正向,
115,汉庭酒店(哈尔滨中央大街步行街店),"性价比极高的一家汉庭。地理位置非常方便,去索菲亚,中央大街",负向,
116,金谷商务酒店(会展中心省政府店),"酒店干净整洁,服务态度好。前台特别好",正向,
117,哈尔滨伊春快捷宾馆(哈西万达广场店),"服务态度非常好。房间很温暖干净,服务态度也很棒",正向,
118,龙门太空舱青年旅舍(哈尔滨中央大街经纬街店),"很好好好好好好好好好好。很愉快的一次体验,下次还来",正向,
119,哈尔滨班夫酒店(省政府地铁站店),"服务态度很好,位置方便,枕头很舒服",正向,
120,麗枫酒店(哈尔滨果戈里大街秋林广场店),房间不错挺好以后还回来。但是酒店内部还是相当哇塞的,正向,
121,如家酒店·neo(哈尔滨会展中心市二院地铁站店),"环境好卫生好,前台服务热情早餐好吃。前台很好",中性,
122,雪谷盛世家园旅馆,"最主要我价格对比过,真的非常便宜。服务周到窝心,此行很满意的一家客栈",正向,
123,锦江之星(哈尔滨西大直街和兴路地铁站店),"感觉是新换过的,附近有地铁站和公交站。环境很好,服务很好",正向,
124,汉庭酒店(哈尔滨秋林哈医大一院店),"整体体验很不错,到地铁站很近。最最主要环境很好,装修很新很干净",正向,
125,麗枫酒店(哈尔滨宣化街南岗区政府店),"酒店特别暖和,人也好,服务员很热情。房间环境挺好,性价比很高",正向,
126,森霖酒店(哈尔滨承德街道外公路客运站店),"前台老板服务态度非常好,会再次入住的。特别方便",负向,
127,哈尔滨意枫宾馆,"环境很好,周围吃的很多,出行很方便。服务好,价格便宜,能满足住户需求",正向,
128,哈尔滨佳期似梦假日公寓,"老板人很好,服务周到,房间干净卫生。干净价格地理位置也好",正向,
129,锦江之星(哈尔滨中央大街新阳路店),"服务态度很好,环境也好。第一次入住这家酒店,整体体验很不错",正向,
130,哈尔滨看见一个青旅,"总体还是不错的,性价比没得说。很不错",正向,
131,哈西宾馆(哈尔滨医大一店),"大家自己感觉吧,评价绝对真实。老板人很好",正向,
132,好佰客公寓(哈尔滨麦凯乐店),"酒店服务挺好的,老板很热情。位置非常好",正向,
133,学府宾馆,"地方不错,干净,宽敞。实际很好的宾馆",正向,
134,天燕假日宾馆(哈尔滨中央大街店),"第一次入住这家酒店,整体体验很不错。房间不算很大,够用,窗户大,室内明亮",正向,
135,哈尔滨宜园春快捷宾馆,"这里真的挺好的,不错。距离医大一院很近,宾馆舒适",正向,
136,恒旗假日宾馆(哈尔滨火车站店),"服务态度很好,吃饭方便,距离景点都不远。略微有点吵",负向,
137,勃莱梅酒店(哈尔滨火车站南广场店),"设施不错。门锁不太好用,总体情况良好",负向,
138,7天连锁酒店(哈尔滨火车站南广场店),"酒店房间很大。室内环境一般,浴室连洗发水沐浴露都没有",负向,
139,寒舍自游驿青年旅舍(中华巴洛克街区地铁站店),但整体很不错。这是我住过最清爽的客栈,负向,
140,哈尔滨冰雪大世界太阳岛花园酒店,"非常安静,环境整洁,设施齐全,服务周到。酒店环境很不错,设计很复古,房间宽敞",正向,
141,哈尔滨凯达商务宾馆(冰雪大世界医大四院店),"酒店太棒了,超过了我的想象,位置好找。酒店非常不错,各方面服务都细致周到",正向,
142,哈尔滨果戈里宾馆,"服务很好。位置很好,后院可以停车,酒店内很有特色",正向,
143,鼎铭酒店(哈尔滨冰雪大世界商业大学店),"离地铁站很近,方便。卫生条件相当不错",正向,
144,哈尔滨欧尚精品酒店(卓展购物中心店),"这个酒店整体很舒适。床很舒服很舒服很舒服,两个枕头一高一低",正向,
145,如果商旅酒店,我可太爱了这姐姐。环境真的很不错,正向,
146,勃莱梅酒店(哈尔滨中央大街店),"整体不错,还很贴心准备了一次性纸杯。地段很好,离中央大街很近",正向,
147,如家酒店·neo(哈尔滨中央大街上游街店),"位置很方便,房间出乎意料的干净整洁。出入很方便,房间干净整洁",正向,
148,哈尔滨桓天连锁酒店,"酒店房间空间很大。周边还有很多好吃的,房间里特别热",中性,
149,东馆商务酒店(哈尔滨中央大街店),"非常好,老板人好,房间干净卫生。服务也特别好",中性,
150,大盛日租公寓(哈尔滨哈西店),下次还会选择这家屋内设施很齐全。位置交通,正向,
151,喜佳酒店(哈尔滨承德广场中华巴洛克店),"卫生条件不错,床品舒适。这家宾馆是出行十天来服务最满意的",正向,
152,7天连锁酒店(哈尔滨西客站哈西服装城店),"总的来说还不错,各方面都还是令人满意的。什么活不能中午干酒店太棒了",正向,
153,亚布力幸福里精品客栈,住的是房间很暖。酒店位置还蛮好找的,正向,
154,好佰客公寓(哈尔滨儿童医院店),"很干净,设备齐全,房主服务态度非常好。服务态度很好,有机会还会来的",正向,
155,雪谷洪波客栈,"睡起来很舒服~客栈老板和老板娘非常热情。服务好,打卤面好吃,门口还有平价超市",负向,
156,都市大发酒店(哈尔滨商业大学南校店),"酒店非常不错,各方面服务都细致周到。很小阁楼房干净,用品好,紧凑型,有空调",正向,
157,雪谷柳二家庭旅馆,"一家很不错的房间就这样呈现。服务周到热情,客房很温馨,干净舒适",正向,
158,健龙艺术家宾馆(哈尔滨工程大学会展中心店),"就是隔音不算太好。房间很暖和,简单干净",正向,
159,7天连锁酒店(哈尔滨中央大街安发桥机场大巴站店),"总的来说还不错,各方面都还是令人满意的",正向,
160,麦凯乐·宿港酒店公寓(哈尔滨中央大街店),"总体讲非常不错👍,下次来还会考虑。前台的姐姐哥哥很好很有耐心",正向,
161,哈工大招待所(哈工大地铁站一店),"第一次住招待所,综合感觉一般。位置好就在工大后身,附近奶茶店",正向,
162,哈尔滨雪阅商旅酒店,"位置交通。最后我去前台找的,给我们换了房间",负向,
163,滨航宾馆(哈尔滨国际机场店),"特价房,老板娘人特别好免费给升的级。老板和老板娘很热情,给免费升级了房间",正向,
164,哈尔滨陆玖宾馆,"客房干净卫生,服务态度好",负向,
165,莱客酒店(哈尔滨火车站博物馆店),"很有人情味,下面我给大家指引一下方向吧。性价比算是比较好的酒店吧",正向,
166,哈尔滨JW万豪酒店,"非常好的入住体验,办理完入住。特别感谢酒店的宾客关系主任张博,因为她",负向,
167,星程酒店(哈尔滨哈西万达酒店),"交通方便,周边配套齐全。房间很大",正向,
168,哈尔滨澜淼影视主题宾馆,离考点特别近也就不到二百米,中性,
169,雪谷毕老驴客栈,"体验很好,老板和店里义工人都很好。入住体验非常棒",正向,
170,哈尔滨齐鲁国际大酒店,"给我升级了一个套房,感觉非常棒。在这边住得最好,环境各方面都很舒服",正向,
171,海悦宾馆(哈尔滨体育学院南岗区政府店),"干净便捷而且服务态度好。前台服务很好,行李免费寄存;酒店位置",正向,
172,汉庭酒店(哈尔滨哈工大店),"洗澡水水流很大,窗帘遮光效果好。交通便利,有免费早餐,还不错",正向,
173,中兴快捷宾馆(哈尔滨哈西店),很不错。位置交通,正向,
174,黑龙江工会大厦酒店(火车站店),"普通的标间也很宽敞的。位置不错,对面是和颐酒店",正向,
175,哈尔滨万宇科技园酒店,"干净又安静。第一次入住这家酒店,整体体验很不错",正向,
176,如家酒店(哈尔滨火车站海城街装饰材料市场店 ),"距离地铁站步行十分钟左右就到了。前台服务热情,包裹寄存服务十分贴心",正向,
177,哈尔滨会华宫百年庭院酒店(中央大街巴洛克店),"所有服务人员特别nice,房间大小够用。提前20天订的五一住宿非常满意",中性,
178,99公馆家友时尚酒店式公寓(哈尔滨中央大街店),"环境整洁,噪声小,房间采光好前后通透。其他都很好,楼下的麻辣串串",正向,
